Place	latitude	longitude
morocco	28.5	-10
israel	31.5	34.75
gaza	31.50161	34.46672
rabat	34.01325	-6.83255
united states	39.76	-98.5
united arab emirates	23.75	54.5
bahrain	26.03333	50.55
sudan	16	30
western sahara	10.01211	105.83224
washington	47.50012	-120.50147
tel aviv	32.08088	34.78057
algeria	28	3
marrakesh	31.63416	-7.99994
maghreb	30	5
ukraine	49	32
saudi arabia	25	45
california	37.25022	-119.75126
west bank	19.38197	-81.39281
dena	28.44289	90.28327
oakland	37.80437	-122.2708
south africa	26.5	-81
jordan	31	36
jerusalem	31.76904	35.21633
east jerusalem	31.78336	35.23388
egypt	27	30
qatar	25.5	51.25
kuala lumpur	3.1412	101.68653
malaysia	2.5	112.5
palestine	31.92157	35.20329
indonesia	-5	120
jakarta	-6.21462	106.84513
johannesburg	-26.20227	28.04363
london	51.50853	-0.12574
paris	48.85341	2.3488
vienna	48.20849	16.37208
berlin	52.52437	13.41053
amman	31.95522	35.94503
washington dc	47.50012	-120.50147
united kingdom	54.75844	-2.69531
manchester	42.99564	-71.45479
yemen	15.5	47.5
india	22	79
hyderabad	17.38405	78.45636
colombo kollupitiya	-76.51667	-144.73333
namibia	-22	17
germany	51.5	10.5
palestinian territories	31.92157	35.20329
sweden	62	15
iran	32	53
kerman	30.28321	57.07879
lebanon	33.83333	35.83333
bethlehem	40.62593	-75.37046
china	35	105
italy	42.83333	12.83333
spain	40	-4
turkey	39	35
hague	52.51118	-106.41859
gaza strip	31.50161	34.46672
khan younis	31.34018	34.30627
syria	35	38
damascus	33.5102	36.29128
red sea	52.26682	-113.802
babelmandeb strait	6.8127	122.0236
gulf of aden	12	48
sanaa	15.35472	44.20667
hodeidah	14.79781	42.95452
taiz	13.57952	44.02091
dhamar	14.54274	44.40514
albayda	18.86139	42.07078
saada	16.94021	43.76393
arabian sea	25	45
bab almandeb strait	30.73222	56.7175
asia	29.84064	89.29688
europe	48.69096	9.14062
kuwait	29.5	47.75
middle east	33.13906	35.85869
ankara	39.91987	32.85427
west	42.77268	-116.9579
tehran	35.69439	51.42151
south carolina	34.00043	-81.00009
new york city	40.71427	-74.00597
rafah	31.29722	34.24357
strip	-27.51667	27.05
istanbul	41.01384	28.94966
greece	39	22
crete	35.15585	24.89502
iraq	33	44
gulf	-7.7246	145.08545
khirbet selm	33.22931	35.42407
bint jbeil	33.11944	35.43333
beirut	33.89332	35.50157
ibil el saqi	33.35667	35.62639
bekaa valley	33.83333	36
litani river	3.3	-54.1
netherlands	52.25	5.75
malta	35.91667	14.43333
gulf of oman	8.5	79
davos	46.80429	9.83723
switzerland	47.00016	8.01427
deir elbalah	35.33588	40.14084
maghazi	31.42234	34.38501
nuseirat	31.44861	34.3925
manchester city	42.99564	-71.45479
barcelona	41.38879	2.15899
